Name;Birthday;Club;Club2;Club3;Year;League
Matija Nastasić;1993-03-28;Schalke;;;2017.0;GER-Bundesliga
Nico Schulz;1993-04-01;Borussia M.Gladbach;Hertha Berlin;;2017.0;GER-Bundesliga
Julian Baumgartlinger;1988-01-02;Mainz;;;2017.0;GER-Bundesliga
Sokratis Papastathopoulos;1988-06-09;Borussia Dortmund;;;2017.0;GER-Bundesliga
Robbie Thomas Kruse;1988-10-05;Leverkusen;Stuttgart;Leverkusen;2017.0;GER-Bundesliga
Georg Niedermeier;1986-02-26;Stuttgart;;;2017.0;GER-Bundesliga
Sandro Wagner;1987-11-29;Darmstadt;Hertha Berlin;;2017.0;GER-Bundesliga
Patrick Weihrauch;1994-03-03;Bayern;;;2017.0;GER-Bundesliga
Daniel Mesenhöler;1995-07-24;FC Koln;;;2017.0;GER-Bundesliga
Nuri Şahin;1988-09-05;Borussia Dortmund;;;2017.0;GER-Bundesliga
Thomas Kraft;1988-07-22;Hertha Berlin;;;2017.0;GER-Bundesliga
Vladimir Rankovic;1993-06-27;Hannover;;;2017.0;GER-Bundesliga
Giulio Donati;1990-02-05;Mainz;Leverkusen;;2017.0;GER-Bundesliga
Stefan Lex;1989-11-27;Ingolstadt;;;2017.0;GER-Bundesliga
Stephen Sama;1993-03-05;Stuttgart;;;2017.0;GER-Bundesliga
Alexander Manninger;1977-06-04;Augsburg;;;2017.0;GER-Bundesliga
Tom Starke;1981-03-18;Bayern;;;2017.0;GER-Bundesliga
Philipp Lahm;1983-11-11;Bayern;;;2017.0;GER-Bundesliga
Xabier Alonso Olano;1981-11-25;Bayern;;;2017.0;GER-Bundesliga
Johan Danon Djourou-Gbadjere;1987-01-18;Hamburg;;;2017.0;GER-Bundesliga
Łukasz Piszczek;1985-06-03;Borussia Dortmund;;;2017.0;GER-Bundesliga
Marcel Schmelzer;1988-01-22;Borussia Dortmund;;;2017.0;GER-Bundesliga
Sebastian Rudy;1990-02-28;Hoffenheim;;;2017.0;GER-Bundesliga
Franck Henry Pierre Bilal Ribéry;1983-04-07;Bayern;;;2017.0;GER-Bundesliga
Gianluca Gaudino;1996-11-11;Bayern;;;2017.0;GER-Bundesliga
Sven Bender;1989-04-27;Borussia Dortmund;;;2017.0;GER-Bundesliga
Medhi Amine El Mouttaqi Benatia;1987-04-17;Bayern;;;2017.0;GER-Bundesliga
Alexander Baumjohann;1987-01-23;Hertha Berlin;;;2017.0;GER-Bundesliga
Fabian Benko;1998-06-05;Bayern;;;2017.0;GER-Bundesliga
Moritz Leitner;1992-12-08;Borussia Dortmund;;;2017.0;GER-Bundesliga
Neven Subotić;1988-12-10;Borussia Dortmund;;;2017.0;GER-Bundesliga
Jan Tilman Kirchhoff;1990-10-01;Bayern;;;2017.0;GER-Bundesliga
Julian Schieber;1989-02-13;Hertha Berlin;;;2017.0;GER-Bundesliga
Holger Badstuber;1989-03-13;Bayern;;;2017.0;GER-Bundesliga
Gonzalo Castro Randon;1987-06-11;Borussia Dortmund;;;2017.0;GER-Bundesliga
Kevin Großkreutz;1988-07-19;Stuttgart;Borussia Dortmund;;2017.0;GER-Bundesliga
Felipe Augusto Santana;1986-03-17;Schalke;;;2017.0;GER-Bundesliga
Roman Weidenfeller;1980-08-06;Borussia Dortmund;;;2017.0;GER-Bundesliga
Markus Feulner;1982-02-12;Augsburg;;;2017.0;GER-Bundesliga
Sebastian Kehl;1980-02-13;Borussia Dortmund;;;2017.0;GER-Bundesliga
Daniel Schwaab;1988-08-23;Stuttgart;;;2017.0;GER-Bundesliga
Klaas-Jan Huntelaar;1983-08-12;Schalke;;;2017.0;GER-Bundesliga
Alexander Stolz;1983-10-13;Hoffenheim;;;2017.0;GER-Bundesliga
Ramazan Özcan;1984-06-28;Ingolstadt;;;2017.0;GER-Bundesliga
Júnior Enrique Díaz Campbell;1983-09-12;Darmstadt;;;2017.0;GER-Bundesliga
Anthony Mbu Agogo Modeste;1988-04-14;FC Koln;;;2017.0;GER-Bundesliga
Josuha Jérémy Akoi Fara Guilavogui;1990-09-19;Wolfsburg;;;2017.0;GER-Bundesliga
Stefan Wannenwetsch;1992-01-19;Ingolstadt;;;2017.0;GER-Bundesliga
Moritz Hartmann;1986-06-20;Ingolstadt;;;2017.0;GER-Bundesliga
Atsuto Uchida;1988-03-27;Schalke;;;2017.0;GER-Bundesliga
Felipe Aliste Lopes;1987-08-07;Wolfsburg;;;2017.0;GER-Bundesliga
Gianluca Curci;1985-07-12;Mainz;;;2017.0;GER-Bundesliga
Marco Jhonfai Fabián de La Mora;1989-07-21;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Aytaç Sulu;1985-12-11;Darmstadt;;;2017.0;GER-Bundesliga
David Yelldell;1981-10-01;Leverkusen;;;2017.0;GER-Bundesliga
Michael Gspurning;1981-05-02;Schalke;;;2017.0;GER-Bundesliga
Henrique Sereno Fonseca;1985-05-18;Mainz;;;2017.0;GER-Bundesliga
György Garics;1984-03-08;Darmstadt;;;2017.0;GER-Bundesliga
Álvaro Domínguez Soto;1989-05-15;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Kai Herdling;1984-06-27;Hoffenheim;;;2017.0;GER-Bundesliga
Marco Russ;1985-08-04;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Florian Klein;1986-11-17;Stuttgart;;;2017.0;GER-Bundesliga
Thomas Kessler;1986-01-20;FC Koln;;;2017.0;GER-Bundesliga
Manuel Schmiedebach;1988-12-05;Hannover;;;2017.0;GER-Bundesliga
Sandro Sirigu;1988-10-07;Darmstadt;;;2017.0;GER-Bundesliga
Christian Träsch;1987-09-01;Wolfsburg;;;2017.0;GER-Bundesliga
Daniel Baier;1984-05-18;Augsburg;;;2017.0;GER-Bundesliga
Martin Harnik;1987-06-10;Stuttgart;;;2017.0;GER-Bundesliga
Fabian Johnson;1987-12-11;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Niko Bungert;1986-10-24;Mainz;;;2017.0;GER-Bundesliga
Thomas Blomeyer;1996-04-24;Ingolstadt;;;2017.0;GER-Bundesliga
Devante Parker;1996-03-16;Mainz;;;2017.0;GER-Bundesliga
Gojko Kačar;1987-01-26;Hamburg;;;2017.0;GER-Bundesliga
Jens Hegeler;1988-01-22;Hertha Berlin;;;2017.0;GER-Bundesliga
Aloy Ihenacho;1995-07-21;Ingolstadt;;;2017.0;GER-Bundesliga
Eugen Polanski;1986-03-17;Hoffenheim;;;2017.0;GER-Bundesliga
Jan Rosenthal;1986-04-07;Darmstadt;;;2017.0;GER-Bundesliga
Sebastian Boenisch;1987-02-01;Leverkusen;;;2017.0;GER-Bundesliga
Christofer Heimeroth;1981-08-01;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Christian Wetklo;1980-01-11;Schalke;;;2017.0;GER-Bundesliga
Elkin Soto Jaramillo;1980-08-04;Mainz;;;2017.0;GER-Bundesliga
Matthias Lehmann;1983-05-28;FC Koln;;;2017.0;GER-Bundesliga
Jan-Ingwer Callsen-Bracker;1984-09-23;Augsburg;;;2017.0;GER-Bundesliga
Christoph Janker;1985-02-14;Augsburg;;;2017.0;GER-Bundesliga
René Adler;1985-01-15;Hamburg;;;2017.0;GER-Bundesliga
Florian Kohls;1995-04-03;Hertha Berlin;;;2017.0;GER-Bundesliga
Nico Beyer;1996-11-22;Hertha Berlin;;;2017.0;GER-Bundesliga
Daniel Zeaiter;1995-03-30;Mainz;;;2017.0;GER-Bundesliga
Stefan Kießling;1984-01-25;Leverkusen;;;2017.0;GER-Bundesliga
Artoms Rudņevs;1988-01-13;Hamburg;;;2017.0;GER-Bundesliga
Halil Altıntop;1982-12-08;Augsburg;;;2017.0;GER-Bundesliga
Roberto Hilbert;1984-10-16;Leverkusen;;;2017.0;GER-Bundesliga
Tobias Levels;1986-11-22;Ingolstadt;;;2017.0;GER-Bundesliga
Tobias Werner;1985-07-19;Augsburg;;;2017.0;GER-Bundesliga
Alexander Madlung;1982-07-11;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Cédric Makiadi Mapuata;1984-02-23;Werder Bremen;;;2017.0;GER-Bundesliga
Marco Sailer;1985-11-16;Darmstadt;;;2017.0;GER-Bundesliga
Stefan Reinartz;1989-01-01;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Niklas Feierabend;1997-04-28;Hannover;;;2017.0;GER-Bundesliga
Anderson Soares de Oliveira;1988-01-10;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Nicklas Bendtner;1988-01-16;Wolfsburg;;;2017.0;GER-Bundesliga
Sidney Sam;1988-01-31;Schalke;;;2017.0;GER-Bundesliga
Rune Almenning Jarstein;1984-09-29;Hertha Berlin;;;2017.0;GER-Bundesliga
Uffe Manich Bech;1993-01-13;Hannover;;;2017.0;GER-Bundesliga
Ivo Iličević;1986-11-14;Hamburg;;;2017.0;GER-Bundesliga
Alexander Esswein;1990-03-25;Augsburg;;;2017.0;GER-Bundesliga
Assani Lukimya-Mulongoti;1986-01-25;Werder Bremen;;;2017.0;GER-Bundesliga
Dominic Maroh;1987-03-04;FC Koln;;;2017.0;GER-Bundesliga
Stefan Aigner;1987-08-20;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Joo-Ho Park;1987-01-16;Borussia Dortmund;Mainz;;2017.0;GER-Bundesliga
Roy Johannes Hendricus Beerens;1987-12-22;Hertha Berlin;;;2017.0;GER-Bundesliga
Hugo Miguel Pereira de Almeida;1984-05-23;Hannover;;;2017.0;GER-Bundesliga
Václav Kadlec;1992-05-20;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Gerhard Tremmel;1978-11-16;Werder Bremen;;;2017.0;GER-Bundesliga
Enis Bunjaki;1997-10-17;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Roel Brouwers;1981-11-28;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
