Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,27,17,7,3,77,29,+48,58,2.15,59.1,29.8,+29.3,+1.08,W W L W W,75000,Jamal Musiala - 11,Manuel Neuer Yann Sommer,
2,Dortmund,27,18,2,7,59,36,+23,56,2.07,49.8,35.0,+14.7,+0.54,W D W L W,81186,Julian Brandt - 8,Gregor Kobel,
3,Union Berlin,27,15,6,6,42,30,+12,51,1.89,29.5,33.6,-4.1,-0.15,D D W W L,20225,Sheraldo Becker - 8,Frederik Rønnow,
4,RB Leipzig,27,14,6,7,50,33,+17,48,1.78,48.0,30.6,+17.4,+0.65,L W L L W,45835,Christopher Nkunku - 12,Janis Blaswich,
5,Freiburg,27,13,8,6,39,36,+3,47,1.74,38.1,39.0,-0.9,-0.03,D W D D L,31736,Vincenzo Grifo - 13,Mark Flekken,
6,Leverkusen,27,13,4,10,51,41,+10,43,1.59,43.2,34.1,+9.1,+0.34,W W W W W,26189,Moussa Diaby - 9,Lukáš Hrádecký,
7,Eint Frankfurt,27,11,8,8,48,40,+8,41,1.52,40.6,34.6,+6.0,+0.22,D D L D L,50092,Randal Kolo Muani - 12,Kevin Trapp,
8,Mainz 05,27,11,8,8,45,38,+7,41,1.52,37.6,37.8,-0.3,-0.01,W D D W D,28163,Marcus Ingvartsen Karim Onisiwo - 9,Robin Zentner,
9,Wolfsburg,27,10,9,8,46,36,+10,39,1.44,38.4,37.1,+1.3,+0.05,D D W D L,26028,Yannick Gerhardt - 6,Koen Casteels,
10,M'Gladbach,27,9,8,10,42,44,-2,35,1.30,40.5,40.0,+0.5,+0.02,D L D D W,48595,Marcus Thuram - 13,Yann Sommer,
11,Werder Bremen,27,9,5,13,42,52,-10,32,1.19,32.2,43.2,-11.0,-0.41,L L D L D,35521,Niclas Füllkrug - 16,Jiří Pavlenka,
12,Köln,27,7,10,10,36,45,-9,31,1.15,35.8,34.3,+1.5,+0.06,D L L D W,45908,Ellyes Skhiri - 6,Marvin Schwäbe,
13,Augsburg,27,8,5,14,35,50,-15,29,1.07,29.3,47.2,-17.9,-0.66,W L D D L,27376,Mergim Berisha - 9,Rafał Gikiewicz,
14,Hoffenheim,27,8,4,15,37,46,-9,28,1.04,39.8,38.6,+1.3,+0.05,L L W W W,21740,Andrej Kramarić - 8,Oliver Baumann,
15,Bochum,27,8,2,17,30,60,-30,26,0.96,30.0,52.6,-22.7,-0.84,L W W D L,25317,Philipp Hofmann - 8,Manuel Riemann,
16,Schalke 04,28,5,9,14,26,52,-26,24,0.86,31.9,43.0,-11.1,-0.39,D D L L W,56991,Marius Bülter - 9,Alexander Schwolow,
17,Stuttgart,27,5,8,14,32,47,-15,23,0.85,35.7,36.3,-0.6,-0.02,L D L L W,46246,Sehrou Guirassy - 7,Florian Müller,
18,Hertha BSC,28,5,7,16,33,55,-22,22,0.79,32.2,44.8,-12.6,-0.45,D L D L L,50257,Dodi Lukebakio - 10,Oliver Christensen,
